,Модель,Год выпуска,Дисплей,Объём памяти,Оперативная память,Разрешение экрана,Количество ядер,Процессор,Разъёмы,Цвет,В комплекте
0,"Apple MacBook Pro 16 (2023), M3 Max (14C CPU, 30C GPU), 36 ГБ, 1 ТБ SSD, «серебристый»",2023,"16"" Liquid Retina XDR",SDD 1 ТБ,36 ГБ,"3456x2234 (постоянная яркость 1000 нит. в полноэкранном режиме, пиковая яркость 1600 нит.)",14,"Apple M3 Max (14C CPU, 30C GPU)","USB 4, Thunderbolt 4, USB-C, HDMI, DisplayPort",Серебристый,MacBook Pro / Адаптер питания USB-C / USB-C Charge Cable (2 m)
1,"Apple MacBook Pro 16 (2023), M3 Max (16C CPU, 40C GPU), 128 ГБ, 2 ТБ SSD, «серебристый»",2023,"16"" Liquid Retina XDR",SDD 2 ТБ,128 ГБ,"3456x2234 (постоянная яркость 1000 нит. в полноэкранном режиме, пиковая яркость 1600 нит.)",16,"Apple M3 Max (16C CPU, 40C GPU)","USB 4, Thunderbolt 4, USB-C, HDMI, DisplayPort",Серебристый,MacBook Pro / Адаптер питания USB-C / USB-C Charge Cable (2 m)
2,"Apple MacBook Pro 16 (2023), M3 Max (16C CPU, 40C GPU), 128 ГБ, 1 ТБ SSD, «чёрный космос»",2023,"16"" Liquid Retina XDR",SDD 1 ТБ,128 ГБ,"3456x2234 (постоянная яркость 1000 нит. в полноэкранном режиме, пиковая яркость 1600 нит.)",16,"Apple M3 Max (16C CPU, 40C GPU)","USB 4, Thunderbolt 4, USB-C, HDMI, DisplayPort",Чёрный космос,MacBook Pro / Адаптер питания USB-C / USB-C Charge Cable (2 m)
3,"Apple MacBook Pro 16 (2023), M3 Max (16C CPU, 40C GPU), 64 ГБ, 2 ТБ SSD, «серебристый»",2023,"16"" Liquid Retina XDR",SDD 2 ТБ,64 ГБ,"3456x2234 (постоянная яркость 1000 нит. в полноэкранном режиме, пиковая яркость 1600 нит.)",16,"Apple M3 Max (16C CPU, 40C GPU)","USB 4, Thunderbolt 4, USB-C, HDMI, DisplayPort",Серебристый,MacBook Pro / Адаптер питания USB-C / USB-C Charge Cable (2 m)
4,"Apple MacBook Pro 16 (2023), M3 Pro (12C CPU, 18C GPU), 18 ГБ, 512 ГБ SSD, «чёрный космос»",2023,"16"" Liquid Retina XDR",SDD 512 ГБ,18 ГБ,"3456x2234 (постоянная яркость 1000 нит. в полноэкранном режиме, пиковая яркость 1600 нит.)",12,"Apple M3 Pro (12C CPU, 18C GPU)","USB 4, Thunderbolt 4, USB-C, HDMI, DisplayPort",Чёрный космос,MacBook Pro / Адаптер питания USB-C / USB-C Charge Cable (2 m)
5,"Apple MacBook Pro 16 (2023), M3 Max (16C CPU, 40C GPU), 48 ГБ, 1 ТБ SSD, «чёрный космос»",2023,"16"" Liquid Retina XDR",SDD 1 ТБ,48 ГБ,"3456x2234 (постоянная яркость 1000 нит. в полноэкранном режиме, пиковая яркость 1600 нит.)",16,"Apple M3 Max (16C CPU, 40C GPU)","USB 4, Thunderbolt 4, USB-C, HDMI, DisplayPort",Чёрный космос,MacBook Pro / Адаптер питания USB-C / USB-C Charge Cable (2 m)
6,"Apple MacBook Pro 16 (2023), M3 Pro (12C CPU, 18C GPU), 36 ГБ, 512 ГБ SSD, «чёрный космос»",2023,"16"" Liquid Retina XDR",SDD 512 ГБ,36 ГБ,"3456x2234 (постоянная яркость 1000 нит. в полноэкранном режиме, пиковая яркость 1600 нит.)",12,"Apple M3 Pro (12C CPU, 18C GPU)","USB 4, Thunderbolt 4, USB-C, HDMI, DisplayPort",Чёрный космос,MacBook Pro / Адаптер питания USB-C / USB-C Charge Cable (2 m)
7,"Apple MacBook Pro 16 (2023), M3 Max (16C CPU, 40C GPU), 64 ГБ, 1 ТБ SSD, «серебристый»",2023,"16"" Liquid Retina XDR",SDD 1 ТБ,64 ГБ,"3456x2234 (постоянная яркость 1000 нит. в полноэкранном режиме, пиковая яркость 1600 нит.)",16,"Apple M3 Max (16C CPU, 40C GPU)","USB 4, Thunderbolt 4, USB-C, HDMI, DisplayPort",Серебристый,MacBook Pro / Адаптер питания USB-C / USB-C Charge Cable (2 m)
8,"Apple MacBook Pro 16 (2023), M3 Max (16C CPU, 40C GPU), 128 ГБ, 2 ТБ SSD, «чёрный космос»",2023,"16"" Liquid Retina XDR",SDD 2 ТБ,128 ГБ,"3456x2234 (постоянная яркость 1000 нит. в полноэкранном режиме, пиковая яркость 1600 нит.)",16,"Apple M3 Max (16C CPU, 40C GPU)","USB 4, Thunderbolt 4, USB-C, HDMI, DisplayPort",Чёрный космос,MacBook Pro / Адаптер питания USB-C / USB-C Charge Cable (2 m)
9,"Apple MacBook Pro 16 (2023), M3 Max (16C CPU, 40C GPU), 128 ГБ, 1 ТБ SSD, «серебристый»",2023,"16"" Liquid Retina XDR",SDD 1 ТБ,128 ГБ,"3456x2234 (постоянная яркость 1000 нит. в полноэкранном режиме, пиковая яркость 1600 нит.)",16,"Apple M3 Max (16C CPU, 40C GPU)","USB 4, Thunderbolt 4, USB-C, HDMI, DisplayPort",Серебристый,MacBook Pro / Адаптер питания USB-C / USB-C Charge Cable (2 m)
