,Модель,Цвет,Серия,Тип экрана,Диагональ экрана,Разрешение экрана,Яркость,Процессор,Количество ядер процессора,Объем встроенной памяти,Объем оперативной памяти,Интерфейсы,Емкость аккумулятора,Время работы,Микрофон,Сканер отпечатка пальца   ,Год,Комплектация,Вес,Цена
0,Apple MacBook Pro 14 2023 512Gb (MRX63LL/A USA) серебристый,Silver,MacBook Pro 14 2023,Liquid Retina XDR,14.2,3024×1964,до 1600 нит (для HDR),Apple M3 Pro,11,512 ГБ,18 ГБ,"3х Thunderbolt 4, 1х HDMI, 1х MagSafe 3, слот SDXC, миниджек 3,5 мм",70 Вт•ч,до 18 ч,"есть, 3 шт.",есть,2023,ноутбук; адаптер питания 70W USB-C; кабель USB-C / MagSafe 3 (2 м),1.61 кг,191 990 руб.
1,Apple MacBook Pro 16 2023 512Gb (MRW13LL/A USA) космический черный,Space Black,MacBook Pro 16 2023,Liquid Retina XDR,16.2,3456×2234,до 1600 нит (для HDR),Apple M3 Pro,12,512 ГБ,18 ГБ,"3х Thunderbolt 4, 1х HDMI, 1х MagSafe 3, слот SDXC, миниджек 3,5 мм",100 Вт•ч,до 22 ч,"есть, 3 шт.",есть,2023,ноутбук; адаптер питания 140W USB-C; кабель USB-C / MagSafe 3 (2 м),2.14 кг,229 990 руб.
2,Apple MacBook Pro 16 2023 1024Gb (MRW73LL/A USA) серебристый,Silver,MacBook Pro 16 2023,Liquid Retina XDR,16.2,3456×2234,до 1600 нит (для HDR),Apple M3 Max,14,1024 ГБ,36 ГБ,"3х Thunderbolt 4, 1х HDMI, 1х MagSafe 3, слот SDXC, миниджек 3,5 мм",100 Вт•ч,до 22 ч,"есть, 3 шт.",есть,2023,ноутбук; адаптер питания 140W USB-C; кабель USB-C / MagSafe 3 (2 м),2.16 кг,345 990 руб.
3,Apple MacBook Pro 14 2023 1024Gb (MRX43LL/A USA) космический черный,Space Black,MacBook Pro 14 2023,Liquid Retina XDR,14.2,3024×1964,до 1600 нит (для HDR),Apple M3 Pro,12,1024 ГБ,18 ГБ,"3х Thunderbolt 4, 1х HDMI, 1х MagSafe 3, слот SDXC, миниджек 3,5 мм",70 Вт•ч,до 18 ч,"есть, 3 шт.",есть,2023,ноутбук; адаптер питания 70W USB-C; кабель USB-C / MagSafe 3 (2 м),1.61 кг,234 990 руб.
4,Apple MacBook Pro 14 2023 1024Gb (MR7K3LL/A USA) серебристый,Silver,MacBook Pro 14 2023,Liquid Retina XDR,14.2,3024×1964,до 1600 нит (для HDR),Apple M3,8,1024 ГБ,8 ГБ,"2х Thunderbolt 3/USB 4, 1х HDMI, 1х MagSafe 3, слот SDXC, миниджек 3,5 мм",70 Вт•ч,до 22 ч,"есть, 3 шт.",есть,2023,ноутбук; адаптер питания 70W USB-C; кабель USB-C / MagSafe 3 (2 м),1.55 кг,160 990 руб.
5,Apple MacBook Pro 14 2023 512Gb (MRX33LL/A USA) космический серый,Space Gray,MacBook Pro 14 2023,Liquid Retina XDR,14.2,3024×1964,до 1600 нит (для HDR),Apple M3 Pro,11,512 ГБ,18 ГБ,"3х Thunderbolt 4, 1х HDMI, 1х MagSafe 3, слот SDXC, миниджек 3,5 мм",70 Вт•ч,до 18 ч,"есть, 3 шт.",есть,2023,ноутбук; адаптер питания 70W USB-C; кабель USB-C / MagSafe 3 (2 м),1.61 кг,187 990 руб.
6,Apple MacBook Pro 14 2023 1024Gb (MTL83LL/A USA) космический серый,Space Gray,MacBook Pro 14 2023,Liquid Retina XDR,14.2,3024×1964,до 1600 нит (для HDR),Apple M3,8,1024 ГБ,8 ГБ,"2х Thunderbolt 3/USB 4, 1х HDMI, 1х MagSafe 3, слот SDXC, миниджек 3,5 мм",70 Вт•ч,до 22 ч,"есть, 3 шт.",есть,2023,ноутбук; адаптер питания 70W USB-C; кабель USB-C / MagSafe 3 (2 м),1.55 кг,158 990 руб.
7,Apple MacBook Pro 14 2023 1024Gb (MRX73LL/A USA) серебристый,Silver,MacBook Pro 14 2023,Liquid Retina XDR,14.2,3024×1964,до 1600 нит (для HDR),Apple M3 Pro,12,1024 ГБ,18 ГБ,"3х Thunderbolt 4, 1х HDMI, 1х MagSafe 3, слот SDXC, миниджек 3,5 мм",70 Вт•ч,до 18 ч,"есть, 3 шт.",есть,2023,ноутбук; адаптер питания 70W USB-C; кабель USB-C / MagSafe 3 (2 м),1.61 кг,235 990 руб.
8,Apple MacBook Pro 14 2023 512Gb (MRX33LL/A USA) космический серый,Space Gray,MacBook Pro 14 2023,Liquid Retina XDR,14.2,3024×1964,до 1600 нит (для HDR),Apple M3 Pro,11,512 ГБ,18 ГБ,"3х Thunderbolt 4, 1х HDMI, 1х MagSafe 3, слот SDXC, миниджек 3,5 мм",70 Вт•ч,до 18 ч,"есть, 3 шт.",есть,2023,ноутбук; адаптер питания 70W USB-C; кабель USB-C / MagSafe 3 (2 м),1.61 кг,187 990 руб.
9,Apple MacBook Pro 16 2023 1024Gb (MUW63LL/A USA) космический черный,Space Black,MacBook Pro 16 2023,Liquid Retina XDR,16.2,3456×2234,до 1600 нит (для HDR),Apple M3 Max,16,1024 ГБ,48 ГБ,"3х Thunderbolt 4, 1х HDMI, 1х MagSafe 3, слот SDXC, миниджек 3,5 мм",100 Вт•ч,до 22 ч,"есть, 3 шт.",есть,2023,ноутбук; адаптер питания 140W USB-C; кабель USB-C / MagSafe 3 (2 м),2.16 кг,380 990 руб.
